id,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,ing
132,Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,31,34,spicy,main course,Tamil Nadu,South,"Oil,Drumstick,Tamarind paste, sambar powder,Tomato"
133,Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Moong dal,Chana dal,Spinach,Urad dal,Oil"
134,Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,31,34,spicy,main course,Tamil Nadu,South,"Urad dal,Curry leaves,Sugar,Mustard seeds,Spinach"
135,Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Greens,Tomato,Mustard seeds,Fenugreek seeds"
136,Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Amaranth leaves,Urad dal,Mustard seeds,Coconut,Red chilli"
137,Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,spicy,main course,Kerala,South,"Beef,Coconut,Garam masala,Curry leaves,Green chilli,Chili powder"
138,Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South,"Chana dal,Urad dal,Potato,French beans,Green peas"
139,Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Moong dal,Chana dal,Cabbage,Tamarind paste,Curry leaves"
140,Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South,"Moong dal,Cucumber,Curry leaves,Green chilli,Lemon"
141,Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Chana dal,Urad dal,Gooseberry,Raw Rice,Curry leaves"
142,Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South,"Oil,Raw Rice,Jaggery,Coconut"
143,Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South,"Onion,Urad dal,Drumstick,Tomato,Curry leaves"
144,Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,Andhra Pradesh,South,"Chana dal,Urad dal,Potato,Raw Rice,Rice flakes"
145,Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,spicy,main course,Andhra Pradesh,South,"Oil,Cucumber,Curd,Curry leaves,Mustard seeds"
146,Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Curd,Ginger,Curry leaves,Baking soda,Green chilli"
147,Papadum,"Lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South,"Lentils,Black pepper,Oil"
148,Paravannam,"Raw rice,  jaggery, milk",vegetarian,31,34,spicy,main course,Kerala,South,"Raw Rice,Jaggery,Milk"
149,Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,Andhra Pradesh,South,"Raw Rice,Cashew nut,Milk,Raisins,Sugar"
150,Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Arhar dal, sambar powder,Tomato,Curry leaves,Fennel seeds"
151,Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,"Moong beans,Raw Rice"
152,Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,31,34,spicy,main course,Tamil Nadu,South,"Chana dal,Urad dal,French beans,Coconut,Mustard seeds"
153,Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Urad dal,Lemon,Tamarind paste,Raw Rice,Curry leaves"
154,Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,Andhra Pradesh,South,"Tomato,Curry leaves,Garlic,Mustard seeds,Water"
155,Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,495,40,spicy,main course,Kerala,South,"Raw Rice,Sugar,Coconut"
156,Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,Tamil Nadu,South,"Green peas,Brinjal,Drumstick, sambar powder,Tamarind paste"
157,Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,spicy,main course,Karnataka,South,"Rice flakes,Sesame seeds,Curry leaves"
158,Sevai,"Sevai, parboiled rice, steamer",vegetarian,120,30,spicy,main course,Andhra Pradesh,South,"Raw vermicelli,Raw Rice, steamer"
159,Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Urad dal,Curd,Oil,Ginger,Curry leaves,Mustard seeds"
160,Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,spicy,main course,Kerala,South,"Coconut,Red beans, masala,Oil,Tamarind paste"
161,Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,Tamil Nadu,South,"Chana dal,Urad dal,Rice flakes,Tomato,Butter"
162,Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,spicy,snack,Tamil Nadu,South,"Urad dal,Ginger,Curry leaves,Green chilli,Black pepper"
163,Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,10,35,spicy,main course,Tamil Nadu,South,"Meat curry powder, chicken chunks,Ginger,Tomato,Cinnamon stick"
164,Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,Andhra Pradesh,South,"Chana dal,Urad dal,Ginger,Curry leaves,Sugar"
165,Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,spicy,main course,Maharashtra,West,"Kala masala, arhar dal,Curry leaves,Mustard seeds,Water"
166,Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,spicy,main course,Maharashtra,West,"Gram flour,Mustard seeds,Garlic,Turmeric,Red chilli"
167,Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,31,34,spicy,main course,Maharashtra,West,"Brinjal,Fish fillet,Oil,Coconut,Ginger"
168,Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,spicy,main course,Gujarat,West,"Urad dal,Potato,Raw Wheat, sooji"
169,Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,10,10,spicy,main course,Gujarat,West,"Raw Wheat, pearl millet flour,Water"
170,Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,20,30,sweet,dessert,Maharashtra,West,"Condensed milk, mawa,Coconut,Almonds,Cashew nut"
171,Bhakri,"Jowar flour, sesame seeds",vegetarian,20,25,spicy,main course,Maharashtra,West,"Jowar flour,Sesame seeds"
172,Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,31,34,spicy,main course,Maharashtra,West,"Bombay duck, malvani masala,Raw Rice,Rava,Green chilli"
173,Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,10,40,spicy,snack,Maharashtra,West,"Raw Rice,Sesame seeds, plain flour,Turmeric,Red chilli"
174,Chevdo,"Citric acid, fry, raisins, sugar, chana daal",vegetarian,20,30,spicy,snack,Gujarat,West,"Citric acid, fry,Raisins,Sugar,Chana daal"
175,Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,5,15,spicy,snack,Gujarat,West,"Urad dal,Gram flour,Mango,Baking soda,Rock salt"
176,Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,spicy,main course,Gujarat,West,"Condensed milk,Cream,Coconut ice, red food coloring,Coconut"
177,Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,spicy,main course,Gujarat,West,"Raw Wheat,Chana dal,Kokum,Jaggery,Gram flour"
178,Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",vegetarian,30,10,spicy,snack,Gujarat,West,"Pav,Potato,Peanuts,Pomegranate,Star anise"
179,Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,spicy,snack,Maharashtra,West,"Urad dal,Bhuna chana,Garam masala,Dates,Tamarind paste"
180,Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,spicy,main course,Maharashtra,West,"Arhar dal,Oil,Curry leaves,Mustard seeds,Red chilli"
181,Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,Gujarat,West,"Rava,Coconut,Gram flour,Mustard seeds,Sesame seeds"
182,Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,sweet,dessert,Gujarat,West,"Bottle gourd, green,Raisins,Sugar,Butter"
183,Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,spicy,main course,Rajasthan,West,"Curd,Besan,Sauce,Garam masala,Gram flour"
184,Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,10,20,sweet,dessert,Gujarat,West,"Raw Wheat,Jaggery,Butter,Almonds"
185,Ghooghra,"Dry fruits, semolina, all purpose flour",vegetarian,31,34,spicy,snack,Gujarat,West,"Dry fruits,Raw Wheat, all purpose flour"
186,Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,20,30,spicy,snack,Gujarat,West,"Bottle gourd,Chana dal,Cabbage,Urad dal, toor dal"
187,Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,31,34,sweet,dessert,Gujarat,West,"Whole wheat rava,Chia seed,Lemon,Edible gum,Milk"
188,Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,10,30,spicy,main course,Gujarat,West,"Green chilli,Lemon,Chili powder,Potato"
189,Kansar,"Wheat flour, cashews, rapeseed oil",vegetarian,10,40,spicy,main course,Gujarat,West,"Raw Wheat,Cashew nut,Oil"
190,Keri no ras,"Mango, sugar",vegetarian,10,10,sour,main course,Gujarat,West,"Mango,Sugar"
191,Khakhra,"Whole wheat flour, low fat, bengal gram flour",vegetarian,20,40,spicy,snack,Gujarat,West,"Raw Wheat, low fat,Gram flour"
192,Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,20,45,spicy,snack,Gujarat,West,"Green chilli,Sesame seeds,Gram flour,Curry leaves,Green chilli"
193,Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,10,25,spicy,snack,Maharashtra,West,"Raw Rice,Urad dal,Raw Wheat,Gram flour,Turmeric"
194,Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,spicy,main course,Madhya Pradesh,Central,"Cinnamon stick,Jaggery,Butter, dry roasted"
195,Koshimbir,"Cucumber, carrot, tomatoes, cilantro",vegetarian,10,10,spicy,main course,Maharashtra,West,"Cucumber,Carrot,Tomato,Coriander"
196,Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,15,30,bitter,main course,Gujarat,West,"Rava,Gram flour,Lemon,Turmeric,Fenugreek leaves"
197,Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,5,45,sweet,dessert,Gujarat,West,"Rose water,Pistachio,Almonds,Gram flour,Saffron"
198,Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,bitter,snack,Gujarat,West,"Bottle gourd,Raw Wheat,Rava,Sesame seeds,Gram flour"
199,Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,spicy,snack,Gujarat,West,"Arbi ke patte,Sesame seeds,Jaggery,Gram flour,Tamarind paste"
200,Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,Maharashtra,West,"Pav bhaji masala,Cauliflower,Potato,Green peas, dinner rolls"
201,Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,Maharashtra,West,"Potato,Urad dal,Mustard seeds,Ginger,Curry leaves"
202,Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,snack,Maharashtra,West,"Peanuts,Sabudana,Lemon,Oil,Curry leaves,Green chilli"
203,Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,Gujarat,West,"Khaman,Pomegranate,Sev,Sugar,Garlic"
204,Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,Gujarat,West,"Sev,Ginger,Tomato,Sugar"
205,Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,10,35,spicy,snack,Gujarat,West,"Raw Wheat,Baking soda, all purpose flour,Black pepper,Oil"
206,Sukhdi,"Whole wheat flour, gur, clarified butter",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Raw Wheat,Jaggery,Butter"
207,Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,60,10,spicy,snack,Maharashtra,West,"Rice flakes,Curd,Raw Rice,Jaggery,Coconut"
208,Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,25,30,spicy,main course,Maharashtra,West,"Raw Wheat,Raw Rice, pearl millet flour, sorghum flour,Sesame seeds"
209,Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,25,60,spicy,main course,Gujarat,West,"Sweet potato,Surti papdi,Potato,Surti papdi,Green peas"
210,Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",vegetarian,20,30,spicy,main course,Maharashtra,West,"Cauliflower,Potato,French beans,Khus khus,Coconut"
211,Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,10,40,spicy,main course,Goa,West,"Chicken meat,Oil,Vinegar,Ginger, green,Cinnamon stick"
212,Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,30,6,spicy,snack,Gujarat,West,"Green garlic chutney,Green peas,Ginger,Lemon, plain flour"
213,Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",vegetarian,31,34,spicy,snack,Gujarat,West,"Moong beans,Jaggery,Red chilli,Oil,Rock salt"
214,Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",vegetarian,5,10,spicy,snack,Gujarat,West,"Raw Rice,Sesame seeds,Baking soda,Oil"
215,Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,15,30,spicy,snack,Gujarat,West,"Chickpea flour,Kasuri methi,Jowar flour,Raw Wheat"
216,Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",vegetarian,31,34,spicy,snack,Gujarat,West,"Raw Wheat,Butter,Oil, white flour,Black pepper"
217,Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,10,20,spicy,snack,Gujarat,West,"Curd,Coconut,Sesame seeds,Raw Wheat,Gram flour"
218,Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,35,40,spicy,main course,Gujarat,West,"Ridge gourd,Baking soda,Sugar,Coconut,Green peas"
219,Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,12,40,sweet,dessert,Rajasthan,West,"Raw Wheat,Khus khus,Sesame seeds,Coconut,Jaggery"
220,Cheera Doi,"Rice, mango, curd",vegetarian,31,34,sweet,dessert,West Bengal,East,"Raw Rice,Mango,Curd"
221,Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,sweet,dessert,Assam,North East,"Raw Rice,Raw Rice,Jaggery,Orange rind"
222,Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,spicy,main course,Assam,North East,"Raw papaya, panch phoran masala,Nigella seeds, mustard oil,Fennel seeds"
223,Kumol Sawul,"Rice, eggs, carrot, beetroot",non vegetarian,31,34,spicy,main course,Assam,North East,"Raw Rice,Egg,Carrot,Beetroot"
224,Luchi,"Maida, vegetable oil",vegetarian,20,30,spicy,main course,West Bengal,East,"Maida flour,Oil"
225,Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,5,20,spicy,main course,Assam,North East,"Potato, mustard oil,Fish fillet,Green chilli"
226,Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",non vegetarian,15,25,spicy,main course,Assam,North East,"Ridge gourd,Fish fillet,Lemon,Tomato, mustard oil"
227,Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,31,34,spicy,main course,Assam,North East,"Brinjal,Onion,Rock salt,Sesame seeds,Coriander"
228,Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,10,20,spicy,main course,Assam,North East,"Potato,Garam masala,Tomato, mustard oil,Bay leaf"
229,Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,31,34,spicy,main course,Manipur,North East,"Raw Rice,Chicken meat,Oil,Almonds,Garlic"
230,Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,31,34,spicy,main course,Assam,North East,"Biryani masala, mixed vegetables,Moong dal, whole red,Mustard seeds"
231,Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,spicy,main course,Tamil Nadu,South,"Raw Rice,Soy sauce,Oil"
232,Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,10,40,spicy,main course,West Bengal,East,"Coconut,Lobster,Green chilli,Ginger,Onion"
233,Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,sweet,dessert,West Bengal,East,"Baking soda,Butter,Oil, all purpose flour"
234,Hando Guri,"Jaggery, raisins",vegetarian,31,34,sweet,dessert,Assam,North East,"Jaggery,Raisins"
235,Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,20,40,spicy,main course,Assam,North East,"Mutton meat,Garam masala,Curd,Turmeric,Bay leaf"
236,Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,15,30,spicy,main course,West Bengal,East,"Coconut,Prawns,Curd,Mustard seeds,Green chilli"
237,Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,31,34,spicy,main course,West Bengal,East,"Fish fillet,Besan,Lemon,Mint,Ginger"
238,Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,31,34,spicy,main course,Assam,North East,"Fermented bamboo shoot,Potato,Ginger, green, mustard oil"
239,Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",non vegetarian,31,34,spicy,main course,Assam,North East,"Banana flower,Chicken meat,Green chilli, mustard oil,Lemon"
240,Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non vegetarian,31,34,spicy,main course,Assam,North East,"Potato,Tomato, mustard oil,Bay leaf,Cinnamon stick"
241,Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",non vegetarian,31,34,spicy,main course,Assam,North East,"Raw Rice,Mutton meat,Banana,Gram flour,Oil, baking powder"
242,Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non vegetarian,31,34,spicy,main course,Assam,North East,"Fish fillet,Pumpkin flowers, mustard oil,Turmeric,Tomato"
243,Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,sweet,main course,West Bengal,East,"Chana dal,Coconut,Ginger,Cinnamon stick,Raisins"
244,Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,31,34,spicy,main course,Odisha,East,"Curd,Raw Rice,Curry leaves,Red chilli"
245,Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,spicy,main course,Assam,North East,"Tea leaves,Sesame seeds,Coconut,Raw Rice"
246,Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,31,34,sweet,dessert,Assam,North East,"Raw Rice,Rose water,Sugar,Butter,Cardamom"
247,Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,15,50,spicy,main course,West Bengal,East,"Coconut,Prawns,Garlic,Turmeric,Sugar"
248,Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,31,34,spicy,main course,Tamil Nadu,South,"Bell pepper,Onion,Butter,Watercress,Oil"
249,Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East,"French beans,Bitter gourd,Ridge gourd,Banana,Brinjal"
250,Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,5,30,sweet,dessert,Assam,North East,"Raw Rice,Sesame seeds,Jaggery"
251,Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,Goa,West,"Coconut,Egg,Butter, all purpose flour"
252,Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,31,34,sweet,dessert,Jammu & Kashmir,North,"Cottage cheese,Dates,Dried rose petals,Pistachio,Almonds"
253,Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,20,45,sweet,dessert,Madhya Pradesh,Central,"Milk powder,Dry fruits, arrowroot powder, all purpose flour"
254,Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,31,34,sweet,dessert,Goa,West,"Raw Rice,Fennel seeds,Coconut,Black pepper,Ginger"
